Unnamed: 0,Home_Team,Away_team,Home_score,Away_score,Season,Result
7595,Limoges Football,FC Nantes,2,1,1962-1963,win
48206,Cadiz,Granada,1,0,1984-85,win
3935,Tenerife,Leganes,1,0,2014-15,win
24845,Montlu?n Football,CO Saint-Dizier,1,1,1964-1965,draw
92150,Alaves,'Gimnastic de Tarragona',1,0,1975-76,win
76185,Badajoz,'Burgos CF',0,1,2001-02,lose
10509,ES Saintes,FC Saint-M?ard-en-Jalles,1,1,1980-1981,draw
18848,'Poli Ejido',Hercules,1,1,2005-06,draw
39958,Sestao,Mallorca,1,0,1985-86,win
79015,AS Nancy-Lorraine,Red Star FC,1,0,1987-1988,win
5648,PS Besan?n,Dijon FCO,1,1,1962-1963,draw
41359,US Orl?ns,CS Sedan,1,0,1985-1986,win
99611,FC Metz,AS Cherbourg,2,0,1962-1963,win
27554,FC Lorient,Stade Malherbe Caen,1,1,2015-2016,draw
103301,US Forbach,ESTAC Troyes,1,0,1957-1958,win
83984,RC Lens,FC Sochaux-Montb?iard,1,1,2010-2011,draw
84984,US Cr?eil-Lusitanos,US Boulogne CO,1,1,2021-2022,draw
32078,Stade lavallois MFC r?erve,US Avranches,1,0,1992-1993,win
26119,AS Saint-Priest,FC Chalon,1,0,1987-1988,win
5810,Toulouse FC,Olympique de Marseille,0,0,2005-2006,draw
113904,N?es Olympique,Stade fran?is,2,1,1962-1963,win
68953,AS B?iers,CO Roubaix-Tourcoing,2,0,1960-1961,win
79475,EA Guingamp,US Cr?eil-Lusitanos,1,1,2005-2006,draw
73377,FC Gueugnon,AS Saint-Etienne,1,1,1960-1961,draw
293,Deportivo,'Gimnastic de Tarragona',1,0,1975-76,win
597,SO Cholet,FC Challans,3,0,1973-1974,win
10719,'Bilbao Athletic','Atletico Madrileno',1,0,1983-84,win
51262,Montlu?n Football,AS Saint-Etienne,1,0,1989-1990,win
95586,Olympique Lyonnais,FC Lorient,2,1,2021-2022,win
53466,FC Yutz,FCSR Haguenau,1,1,1992-1993,draw
50671,Pau FC,Paris FC,1,0,1994-1995,win
97527,AC Ajaccio,FC Girondins de Bordeaux,1,0,1967-1968,win
24389,Cadiz,Oviedo,1,0,1991-92,win
76788,Amicale sportive Muret football,Lab?e Football Club,1,0,1988-1989,win
46761,Clermont Foot 63,Stade lavallois MFC,1,1,2006-2007,draw
53191,Xerez,Toledo,1,1,1997-98,draw
116742,Cordoba,Numancia,1,0,2009-10,win
72894,Clermont Foot 63,AJ Auxerre r?erve,0,0,1989-1990,draw
96227,Tours FC,La Roche VF,1,1,1973-1974,draw
2656,Stade lavallois MFC r?erve,Stade Malherbe Caen,1,0,1978-1979,win
100212,'Rayo Vallecano','Real Madrid',1,1,1999-00,draw
72643,Angers SCO,GFC Ajaccio,1,0,2012-2013,win
83335,Olympique ajaccien,Amicale sportive Muret football,1,1,1978-1979,draw
4349,AS Aix-en-Provence,N?es Olympique r?erve,1,1,1973-1974,draw
109103,AS Saint-Etienne,FC Sochaux-Montb?iard,2,1,1967-1968,win
83571,Montpellier HSC,Angers SCO,1,1,2020-2021,draw
15534,AS Saint-Etienne,AS Poissy,2,0,1971-1972,win
65888,RC Strasbourg Alsace,AS Monaco FC,1,1,2007-2008,draw
85318,Cadiz,Pontevedra,1,0,1976-77,win
84332,'Rayo Vallecano',Levante,1,0,1990-91,win
83579,FC Martigues,Le Puy Foot,1,1,2022-2023,draw
3913,FC Istres,FC Gueugnon,1,0,1991-1992,win
29051,AFC Creil,FC Rouen 1899,1,1,1971-1972,draw
112432,Lu?n VF,Poir?sur-Vie VF,1,1,2014-2015,draw
117698,AS Amicale,Valenciennes Fc r?erve,1,1,1967-1968,draw
101042,FC Nancy,Olympique de Marseille,1,1,1962-1963,draw
